站点,产品别,DRY100,DRY200,DRY300,DRY400,DRY500,DRY600,DRY700,DRY800,DRY900,DRYA00,DRYB00,DRYC00,DRYD00,DRYE00,DRYF00,DRYG00
2401,27500,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2401,31500,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2401,39000,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2401,42500,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y
2401,48500,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y
2401,49500,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y
2401,54600,Y,Y,Y,Y,,Y,,Y,Y,,Y,Y,Y,Y,Y,Y
2401,65500,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
3600,27500,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y
3600,31500,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
3600,39000,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
3600,42500,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y
3600,48500,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
3600,49500,,,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,,Y
3600,54600,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y
3600,65500,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
4400,27500,,,,Y,Y,,Y,Y,Y,Y,,Y,Y,,,Y
4400,31500,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
4400,39000,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
4400,42500,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y
4400,48500,,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y
4400,49500,,,,,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y
4400,54600,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
4400,65500,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
