站点,产品别,WET100,WET200,WET300,WET400,WET500,WET600,WET700,WET800,WET900,WETA00,WETB00
1400,27500,,,Y,,Y,,Y,,,,
1400,31500,Y,Y,Y,Y,Y,Y,Y,Y,,,
1400,39000,Y,Y,Y,Y,Y,Y,Y,Y,,,
1400,42500,,,Y,Y,Y,Y,Y,Y,,,
1400,48500,Y,Y,Y,Y,Y,Y,Y,Y,,,
1400,49500,Y,Y,Y,,Y,,Y,Y,,,
1400,54600,Y,Y,Y,Y,Y,Y,Y,Y,,,
1400,65500,Y,Y,Y,Y,Y,Y,Y,Y,,,
3400,27500,,Y,Y,Y,Y,Y,Y,,,,
3400,31500,Y,Y,Y,Y,Y,Y,Y,,,,
3400,39000,Y,Y,Y,Y,Y,Y,Y,,,,
3400,42500,Y,Y,Y,,,,Y,,,,
3400,48500,Y,Y,Y,Y,Y,Y,Y,,,,
3400,49500,Y,Y,Y,Y,Y,Y,Y,,,,
3400,54600,Y,,Y,Y,Y,Y,Y,,,,
3400,65500,Y,Y,Y,Y,Y,Y,Y,Y,,,
3402,27500,,Y,Y,,,Y,Y,Y,,,
3402,31500,Y,Y,Y,,Y,,Y,Y,,,
3402,39000,Y,Y,Y,,Y,,Y,Y,,,
3402,42500,Y,Y,Y,Y,Y,Y,Y,Y,,,
3402,48500,Y,Y,Y,Y,Y,Y,Y,Y,,,
3402,49500,Y,Y,Y,Y,Y,,Y,Y,,,
3402,54600,Y,Y,Y,Y,Y,Y,Y,Y,,,
3402,65500,Y,Y,Y,Y,Y,Y,Y,Y,,,
5400,27500,,,,,,,,,Y,Y,Y
5400,31500,,,,,,,,,Y,,Y
5400,39000,,,,,,,,,Y,Y,Y
5400,42500,,,,,,,,,Y,Y,
5400,48500,,,,,,,,,Y,Y,Y
5400,49500,,,,,,,,,,Y,Y
5400,54600,,,,,,,,,Y,Y,Y
5400,65500,,,,,,,,,Y,Y,Y
